id,title,channelId,channelTitle,categoryId,publishedAt,tags,viewCount,likeCount,commentCount
Ovr9_g_-eTY,BOOGIE + CAM NEWTON CRAZY 3v3 BASKETBALL FINALS!!,UC5qUhMoqke0mnJtgVoEn0aw,Creator League,17,2024-04-14T22:00:10Z,,207697,5722,801
GM2fqGQEVLg,Chicago mass shooting: New details released,UCNjfNLnQYbjBEvnS8KFuyGQ,FOX 10 Phoenix,25,2024-04-15T04:53:39Z,"['news', 'ksaz', 'video', 'il', 'mass-shootings', 'mass shooting', 'chicago', 'fox 10 phoenix', 'shooting', 'crime', 'south side', 'child killed', 'several hurt', 'update', 'latest', 'what happened']",150388,1322,1050
rn1kZ6X_4H8,4 arrested for first-degree murder in connection to 2 women missing from Oklahoma Panhandle,UCoIhMkbeDRBImkGiA5mZp5A,KOCO 5 News,25,2024-04-14T15:39:47Z,['Oklahoma City'],143916,1899,
RMzqJacMwMQ,Truth - The Skibidi Saga 06 (Part 1),UCPEM1vZqAD7J7VO-7hAhcXg,Maxedy,20,2024-04-14T22:30:06Z,"['skibidi toilet', 'skibidi toilet all episodes', 'skibidi toilet vs cameramen', 'skibidi toilet meme', 'funny animation', 'skibidi', 'memes', 'skibidi toilet episodes', 'skibidi multiverse', 'what if scenario', 'skibidi meme', 'titan speakerman', 'skibidi toilet multiverse', 'titan tv man', 'upgraded titan tv man', 'animation', 'skibidi saga', 'maxedy', 'maxedystuff', 'skibidi toilet universe', 'titan cameraman', 'upgraded titan cameraman', 'skibidi toilet fanmade', 'what if skibidi toilet', 'cassetteman']",827237,39165,1862
9B-8Zz7tcrY,Sporting Kansas City vs. Inter Miami CF | Historic crowd! 72k+ In Attendance | Full Match Highlights,UCSZbXT5TLLW_i-5W8FZpFsg,Major League Soccer,17,2024-04-14T03:13:01Z,"['D. Gómez', 'Erik Thommy', 'Felipe Hernández', 'J. Alba', 'L. Messi', 'L. Suárez', 'M. Weigandt', 'PLAYS', 'Sporting Kansas City vs. MIA', 'Willy Agada']",1479614,36307,1702
CpM2bVZh5i8,Scottie Scheffler's WINNING Masters round,UCa98aY7eenHS_YhehF-vuEQ,Sky Sports Golf,24,2024-04-14T23:40:34Z,"['sky sports', 'sky sports golf', 'golf', 'european tour', 'pga tour', 'golf highlights', 'Tiger Woods', 'Brooks Koepka', 'Dustin Johnson', 'John Rahm', 'Jordan Spieth', 'Scottie Scheffler', 'Sky Sports Golf Podcast', 'The Masters', 'Tommy Fleetwood', 'Tyrell Hatton', 'Viktor Hovland', 'augusta', 'green jacket masters', 'hole in one', 'how to listen to master podcast', 'how to watch masters', 'masters', 'masters podcast', 'podcast', 'the masters 2024', 'Scottie Scheffler reaction', ""Bryson DeChambeau's hole out"", '18th hole out']",112456,580,71
CXT9kY00tKg,"EXTREME KITCHEN RENOVATION EP 3 | Appliances, Electrical, Plumbing, Insulation & Drywall",UCXkbaLJq7IxOfR2ITAinsOQ,"XO, MaCenna",26,2024-04-14T18:27:40Z,"['diy', 'xo macenna', 'macenna lee', 'mckenna', 'home decor', 'interior design', 'kitchen renovation', 'kitchen remodel', 'kitchen makeover', 'home renovation', 'kitchen renovation diy', 'installing drywall', 'new kitchen', 'complete kitchen makeover', 'extreme kitchen makeover', 'house projects', 'room makeover', 'house to home', 'kitchen tour', 'house renovation', 'before and after', 'how to renovate a kitchen', 'kitchen design', 'kitchen renovation before and after', 'kitchen renovation tips', 'kitchen remodeling ideas']",167353,15701,745
5GSt99nxiJQ,Whistle Podu Lyrical Video | The Greatest Of All Time | Thalapathy Vijay | VP | U1 | AGS | T-Series,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,10,2024-04-14T12:30:08Z,"['tseries', 'tseries songs', 'the greatest of all time', 'the greatest of all time vijay', 'goat movie', 'thalapathy song', 'thalapathy vijay song', 'thalapathy vijay the greatest of all time', 'the greatest of all time song', 'the goat song thalapathy vijay', 'thalapathy vijay new song', 'thalapathy vijay new movie song', 'the greatest of all time vijay song', 'the greatest of all time thalapathy vijay', 'thalapthy vijay song', 'whistle pode full song', 'whitle pode vijay', 'whistle pode prabhu deva', 'thalapathy']",30100246,1301425,38641
PP5n9BbTUPE,Oakland police respond to wild night of sideshows,UCF4LEacx9sDvAbEJnlaJfKQ,KPIX | CBS NEWS BAY AREA,25,2024-04-15T01:54:44Z,"['Oakland', 'Crime', 'Sideshows']",101937,1550,991
G8WhJPO9pmA,Glorb - MOB TIES (Official Music Video),UCiMm5csnl5xQHZ1i9ykueQQ,Glorb,22,2024-04-13T23:00:07Z,"['Glorb', 'Dankton', 'Mr Swags', 'SpongeOpp']",470050,49028,3729
AvLJNIbKY1s,BROOKS KOEPKA: Sundae Conversation with Caleb Pressley,UCzn4ij1jh39Zpj0N8vHiVqA,Sundae Conversation,24,2024-04-14T13:15:00Z,"['masters', 'liv', 'golf', 'jena', 'glenny balls', 'barstool sports', 'interview']",163358,5684,224
Cuf29fvlfb0,Weekend Update: Caitlin Clark on the WNBA Draft - SNL,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,23,2024-04-14T05:33:52Z,"['SNL04132024', 'saturday night live', 'season 49', 'snl 49', 'weekend update', 'weekend update snl', 'weekend update saturday night live', 'colin jost', 'michael che', 'trump', 'joe biden', 'donald trump', 'snl news', 'saturday night live news', 'saturday night live ryan gosling', 'caitlin clark', ""women's sports"", 'wnba', 'Ryan Gosling', 'Barbie', 'Ken', ""I'm Just Ken"", 'La La Land', 'Chris Stapleton', 'Blade Runner 2049', 'Drive', 'Fall Guy', 'The Nice Guys', 'The Gray Man', 'papyrus', 'Ryan Gosling hosting SNL', 'hosting']",2499946,36716,2514
8p9NPLvlrv0,I Tried Every Airline In America,UCyps-v4WNjWDnYRKmZ4BUGw,Airrack,24,2024-04-13T16:23:06Z,,803706,42339,2847
_yODKON7tUw,THE WEDDING IS HERE!! Lauren and Jeremy's Wedding!!!,UCXLnGIevWGWK2dPDcvM5-CA,RemLife,22,2024-04-15T15:00:33Z,"['missremiashten', 'remlife', 'remi', 'cruz', 'vlog', 'vlogger', 'daily', 'follow me around', 'day in the life', 'look', 'looks']",52095,3537,190
Q8PdffUfoF0,Papyrus 2 - SNL,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,23,2024-04-14T08:07:04Z,"['SNL04132024', 'snl', 'saturday night live', 'snl 49', 'saturday night live season 49', 'ryan gosling', 'snl host ryan gosling', 'saturday night live ryan gosling', 'kyle mooney', 'mikey day', 'james austin johnson', 'ego nwodim', 'sarah sherman', 'papyrus', 'papyrus 2', 'avatar', 'avatar 2', 'james cameron', 'graphic design', 'Ryan Gosling', 'Barbie', 'Ken', ""I'm Just Ken"", 'La La Land', 'Chris Stapleton', 'Blade Runner 2049', 'Drive', 'Fall Guy', 'The Nice Guys', 'The Gray Man', 'hosting', 'Ryan Gosling hosting SNL']",1869228,61360,3161
gZnUEta1jgU,How will Israel and the US respond to Iran's attack on Israel? | DW News,UCknLrEdhRCp1aegoMqRaCZg,DW News,25,2024-04-14T08:37:42Z,"['DW News', 'iran attack', 'iran drones', 'iran dronstrikes', 'iran israel', 'iran us', 'middle east', 'middle east conflict']",785383,7999,3554
KjIATmgpWTI,Max Holloway just put Justin Gaethje OUT COLD in the very last second of the final round 🤯 #UFC300,UC4i_9WvfPRTuRWEaWyfKuFw,TNT Sports,17,2024-04-14T04:10:51Z,"['TNT Sports', 'TNT Football', 'TNT', 'Discovery', 'Eurosport', 'Warner Bros.', 'Cricket', 'Football', 'UFC', 'Boxing', 'Premier League', 'Arsenal', 'Liverpool', 'Manchester United', 'Chelsea', 'Tottenham', 'Manchester City', 'Tyson Fury', 'Oleksandr Usyk', 'Joe Joyce', 'Bukayo Saka', 'Erling Haaland', 'Mohamed Salah', 'Bruno Fernandes', 'Conor McGregor', 'Dana White', 'MMA', 'Khabib Nurmagomedov', 'Moto GP', 'UEFA Champions League', 'Real Madrid', 'UEFA Europa League', 'UCL', 'UEL', 'Soccer', 'Tennis', 'Rugby', 'Olympics', 'Cycling', 'Baseball', 'WWE', 'Wrestling', 'Golf', 'F1', 'Sport']",483775,2964,615
keMOaF1Su9I,every apartment is 2 RANDOM aesthetics in the sims 4,UCiGnwS3OVEuqbc78ELEFDeQ,CarynandConnieGaming,20,2024-04-13T18:14:05Z,"['the sims', 'ts4', 'sims build challenge', 'let’s build', 'sims 4 challenge', 'sims challenge', 'challenge', 'sims 4', 'carynandconnie', 'Caryn and connie', 'family friendly', 'build challenge', 'house building', 'sims 4 build', 'the sims 4', 'how to build', 'sims hacks', 'sims tips', 'sims tricks', 'sims cheats', 'speed build', 'speedbuilding', 'aesthetics', 'random room sims', 'different room sims', 'sims apartments', 'clowncore', 'grunge', 'goth', 'cottagecore', 'dark academia', 'plant mom', 'cyberpunk', 'y2k', 'coquette', 'aesthetic design']",376572,43554,1983
touFGi2BOQo,"I’m Hurt, We’ve Thrown It Away Again! (Lee Judges) | Arsenal 0-2 Aston Villa",UCBTy8j2cPy6zw68godcE7MQ,AFTV,17,2024-04-14T18:55:48Z,"['afc', 'aftv', 'arsenal', 'arsenal fan tv', 'fan cams', 'arsenal tv', 'arsenal fan cams', 'gooners', 'premier league', 'robbie lyle', 'troopz', 'aftvmedia', 'martinelli', 'mikel arteta', 'aftv news', 'transfer daily', 'gabriel', 'aftv troopz', 'arsenal stream', 'arsenal watch along', 'emirates stadium', 'football', 'soccer', 'sport', 'gabriel jesus', 'gunners', 'arsenal fc', 'transfer window', 'Title Race', 'Full-Time', 'arsenal 0-2 villa', 'arsenal title race', 'ollie watkins arsenal', 'arsenal bottle']",324283,5537,1903
mLw3gINzgh4,Ohio State Football spring game highlights | CFB on FOX,UCpwix-O6ceqMgdxhqIynzFA,CFB ON FOX,17,2024-04-13T19:42:46Z,"['Ohio State Buckeyes', 'Ohio State', 'nfl draft', 'college football', 'Byron Murphy II', 'Texas Longhorns', 'CFB', 'NCAA', 'College Football', 'NCAA Football', 'CFB News', 'sports talk', 'sports debate', 'fox sports', 'football', 'FS1', 'Sports news', 'CFB Talk', 'CFB debate', 'CFB Offseason', 'sports', 'sports show', 'fox sports 1', 'fox', 'CFB highlights', 'sports highlights', 'highlights', '2024 NFL Draft', 'NFL', 'National Football League', 'AFC', 'NFC', 'Defensive Lineman', 'Fox Youtube']",97581,1271,341
YyAumYg5Hxc,"Tom MacDonald - ""God Mode""",UCElGBUWDCa05jRzc2PfmGqQ,Tom MacDonald,22,2024-04-12T15:59:13Z,"['Eminem', 'MGK', 'Token', 'Hopsin', 'Merkules', 'Chris Webby', 'Joyner Lucas', 'Tech N9ne', 'Yelawolf', 'Strange Music', 'Jellyroll', 'Upchurch', 'Adam Calhoun', 'Ryan Upchurch', 'Tom MacDonald', 'Tom MacDonald The System', 'Tom MacDonald New Song', 'New Tom MacDonald', 'tom macdonald reaction', 'Tom MacDonald Fake Woke', 'Tom MacDonald Sheeple', 'Tom MacDonald Facts', 'Ben Shapiro Facts', 'Tom MacDonald Ben Shapiro', 'Conservative Rapper', 'Right Wing Rapper', 'tom macdonald machine', 'ben shapiro', 'tom macdonald ben shapiro', 'hip hop']",1783717,196895,38210
bao348EFUuU,"Best Face Painting Wins $5,000!",UCPAk4rqVIwg1NCXh61VJxbg,ZHC Crafts,26,2024-04-13T15:59:46Z,,485721,18268,1691
TYX3wGsKpwI,I Ran A Custom Croissant Shop For A Day,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,22,2024-04-12T23:40:09Z,"['safiya nygaard', 'safiya and tyler', 'tyler williams', 'safia', 'sofia', 'sofiya', 'croissant', 'croissants', 'food', 'pastry', 'pastries', 'french baking', 'french', 'french pastries', 'croissant recipe', 'recipes', 'croissant baking', 'baking', 'aesthetic baking', 'black box bakery', 'denver', 'mise en place', 'cube croissant', 'cube croissants', 'decorating', 'ganache', 'baker', 'bread', 'butter', 'proofing', 'laminating', 'laminator', 'dough', 'goth', 'orange', 'mulled wine', 'chocolate', 'honey', 'tea', 'viral']",1136823,65512,2040
krXRznlZIRM,I Broke My Neck.. (End Of My Football Career),UC4mLlRa_dezwvytudo9s1sw,Deestroying,24,2024-04-12T23:09:47Z,"['Deestroying neck', 'deestroying broke neck', 'Deestroying hit', 'brahmas hit', 'brahmas kicker', 'ufl', 'deestroyer hurt', 'deestroying injury', 'Brahmas IR', 'Brahmas kicker hurt', 'destroying', 'destroying hurt', 'Project NFL', 'destroying NFL', 'deestroyer nfl']",1967341,64398,5244
1fMteAkVAEc,Garten of Banban 7 - Official Trailer,UCzDYgkEUa7tcWFmhfVItiiA,Euphoric Brothers,20,2024-04-13T14:00:07Z,"['garten of banban devlog', 'garten of banban ending', 'poppy playtime', 'garten of banban gameplay', 'garten of banban game', 'garten of banban bosses', 'garten of banban', 'garten of banban trailer', 'garten of banban teaser', 'garten of banban 6 teaser', 'garden of banban', 'garden of banban gameplay', 'garden of banban trailer', 'garten of banban 6', 'garten of banban 6 trailer', 'garten of banban 5', 'garten of banban 6 gameplay', 'garten of banban 7', 'garten of banban 7 trailer', 'garten of banban 7 teaser']",1297097,56874,9730
FALlhXl6CmA,Conan O'Brien Needs a Doctor While Eating Spicy Wings | Hot Ones,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,24,2024-04-11T15:00:10Z,"['First we feast', 'fwf', 'firstwefeast', 'food', 'food porn', 'cook', 'cooking', 'chef', 'recipe', 'cocktail', 'bartender', 'craft beer', 'complex', 'complex networks', 'spicy food', 'foodie', 'burgers', 'food documentary', 'conan', ""Late Night with Conan O'Brien"", ""The Tonight Show with Conan O'Brien"", 'NBC', 'SNL', 'Saturday night live']",6073525,377869,37466
AYDICzSsjmY,I Built a LEGO WATER PARK,UC6889KWo5GDEqcYaym1lq9g,MasterBuilders,24,2024-04-13T13:00:12Z,,314368,8354,598
tlj7Rj237a4,Spawning 15 BILLION Maxwells in My Summer Car,UCZi0oII2ua_I-fEnHdg3U2A,martincitopantsLIVE,20,2024-04-13T01:30:31Z,,787113,46836,1275
7EJfr9G95t4,FINAL FANTASY XIV: DAWNTRAIL Benchmark Trailer,UCpx2BZg8ABgaDV50sGJtWAg,FINAL FANTASY XIV,20,2024-04-13T04:05:24Z,"['FF14', 'FFXIV', 'Final Fantasy XIV (Video Game)', 'ファイナルファンタジー', 'MMO', 'スクウェア・エニックス', 'スクエニ', 'SQUARE ENIX', '漆黒のヴィランズ', 'Shadowbringers', 'dawntrail', '黄金のレガシー']",470850,,
4MxNTXCRDOs,Family Photo Booth & Shopping In Town,UCnEn0EUV13IR-_TK7fiIp3g,Alfie Deyes Vlogs,22,2024-04-14T07:01:03Z,"['daily', 'vlog', 'zoe', 'sugg', 'nala', 'cute', 'couple', 'zalfie', 'baby', 'pregnant', 'pregnancy', 'girl', 'daughter', 'house', 'garden', 'summer', 'alfie', 'deyes', 'dad', 'haul', 'shopping', 'cooking', 'taste', 'test', 'shoes']",191604,12574,443
8AbtCE-sePc,What Happened To The Nautilus?,UC1ZBQ-F-yktYD4m5AzM6pww,Mustard,27,2024-04-12T18:44:53Z,"['North Pole Exploration', 'Nautilus Submarine', 'Hubert Wilkins', ""What's Under the North Pole"", 'Who reached the North Pole first?', 'Antarctic Snow Cruiser', 'Polar Exploration', 'Greatest Adventures', 'Forgotten Expeditions', 'Top of the world', 'Submarine under the north pole', 'What happened to the Nautilus Submarine']",2783823,79962,1802
