id,title,channelId,channelTitle,categoryId,publishedAt,tags,viewCount,likeCount,commentCount
0hlUhPK6_qo,"PESO COMPLETO (Lyric Video) - Peso Pluma, Arcángel",UCzrM_068Odho89mTRrrxqbA,Peso Pluma,10,2024-04-11T23:00:00Z,"['Peso Pluma', 'Arcangel', 'Peso', 'La Doble P', 'Double P', 'Peso Completo', 'Corridos', 'corridos bélicos', 'corridos tumbados', 'Rimas', 'música mexicana', 'regional mexicano']",728428,56972,3368
ymOPw7cN3Ac,MAX HOLLOWAY REACTS TO INSANE KO OF JUSTIN GAETHJE AT UFC 300 FOR THE BMF TITLE,UCTvuMRhyrTVgbEdLyymZq8g,FULL SEND MMA,17,2024-04-14T05:17:10Z,"['UFC', 'MMA', 'Dana White', 'Conor McGregor', 'Full Send', 'MMAFighting', 'TheMacLife', 'Mac Life', 'MMAJunkie', 'ESPN MMA', 'UFC weigh in', 'UFC fight night', 'jon jones', 'nate diaz', 'jorge masvidal', 'conor mcgregor interview', 'dana white press conference', 'jake paul', 'logan paul', 'ufc press', 'jon jones highlights', 'conor mcgregor highlights', 'ufc weigh ins', 'charles oliveira', 'sean strickland', 'full send podcast', 'nelk', 'nelk boys', 'dana white', 'israel adesanya', 'dricus', 'ufc 300', 'justin gaethje', 'max holloway']",103063,2733,361
S8aKWCxiLps,Fortnite x Avatar: Elements - Gameplay Trailer,UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,20,2024-04-11T14:00:06Z,['yt:cc=on'],3519504,33038,2452
Q8eFLjrIlmU,"$100,000 Or A Helicopter? What Do I Choose? Also Justin Destroys His New Burnout Truck!!!",UCuuZHDQV1LRmeuRFIOETO2A,JH Diesel and 4X4,22,2024-04-11T21:15:00Z,"['jh', 'jh diesel', 'jh diesel and 4x4', 'diesel', 'duramax', 'cummins', 'powerstroke', 'giveaway', 'honda', 'acty', 'truck', 'cleetus mcfarland', 'army truck', 'lmtv', '5 ton', 'military', 'airboat', 'mud truck', 'race truck', 'jump', 'Le Mullets', '2.4 hours', 'Crown Vic', 'freedom factory', 'New Years eve', 'New Years bash', 'lawn mower', 'racing', 'can am', 'maverick', 'x3', 'sxs blog', 'sxs', 'sand dunes', 'jumping', 'hurricane', 'idalia']",342137,15400,1439
3BMJT3j2mkU,Hermitcraft 10 - Ep 11:  This Episode Changes Everything!,UCodkNmk9oWRTIYZdr_HuSlg,GoodTimesWithScar,20,2024-04-12T15:30:01Z,"['minecraft', 'hermitcraft 10', 'hermitcraft season 10', 'minecraft hermitcraft', 'season 10', 'permit office', 'hermitcraft', 'hermit craft', 'hermitcraft season 10 scar', 'hermitcraft 10 scar', 'hermitcraft goodtimeswithscar', 'permit office hermitcraft', 'permit office grian', 'hermitcraft zoo train', 'hermitcraft zoo', 'goodtimeswithscar', 'scar', 'scar permit office']",581951,43616,2802
8d4mtlZDMo4,Real Madrid vs. Man. City: Extended Highlights | UCL Quarter-Finals 1st Leg | CBS Sports Golazo,UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,17,2024-04-09T21:32:19Z,"['Champions League', 'Europa League', 'Soccer', 'UEFA', 'UCL', 'European Soccer', 'European Football', 'European Futbol', 'UEL', 'UCL Highlights', 'Champions League Highlights', 'Football', 'CBS Golazo', 'CBS', 'Micah Richards', 'Jamie Carragher', 'Thierry Henry', 'CBS Studio']",2344841,27510,2549
pc-WRrxjrBk,UNDEFEATED - XG & VALORANT (Official Music Video) // VCT Pacific 2024 Song,UCA8fUfoBLWyUpAZTbXB0uoA,VALORANT Champions Tour Pacific,20,2024-04-12T09:00:07Z,"['VALORANT', 'VCT Pacific', 'VALORANT Champions Tour', 'Riot Games', 'OurTimeIsNow', 'VCTPacific', 'VCT']",882977,51530,2279
YQfC90O9HlI,I Built an Invisible Katana (it's indestructible),UC6ktP3PLU5sAJxN9Rb0TALg,Mike Shake,24,2024-04-10T17:59:52Z,"['mike shake', 'Skills', 'Learning new skills', 'Learn skills', 'learning skills', 'yesgo', 'mike', 'mike skills']",4659323,123202,6030
yHSPofOIGOU,Pawn Stars: These Sellers Are Offered WAY MORE Than Expected,UCmyjVwYZbp5YPYTUyeopO2g,Pawn Stars,24,2024-04-10T18:00:35Z,"['history', 'history channel', 'history shows', 'history channel shows', 'Pawn Stars', 'rick harrison', 'Pawn Stars clips', 'Pawn Stars full episodes', 'pawn', 'las vegas', 'gold & silver pawn shop', 'gold and silver', 'pawn shop', 'corey harrison', 'chumlee', 'pawn stars full episode', 'pawn stars most expensive item bought', 'pawn stars angry customer', 'watch Pawn Stars', 'stream Pawn Stars', 'sellers', 'offers', 'highlights', 'clips', 'scenes', 'full episodes', 'Pawn Stars 2024', 'These Sellers Are Offered WAY MORE Than Expected']",4756181,32410,3176
00FTH6KYz40,UFC 300: Ceremonial Weigh-In,UCvgfXK4nTYKudb0rFR6noLA,UFC,17,2024-04-12T23:42:53Z,"['ufc', 'mma', 'ultimate fighting championship', 'ceremonial weigh ins', 'ufc 300', 'pereira vs hill']",1160819,20591,2348
_q6PF3bb9VY,WHY?,UCIMmuidNJdncfMEelOU08Fg,Stray Kids - Topic,10,2024-04-11T15:00:24Z,"['Stray Kids', 'ストレイキッズ', 'WHY?']",1103762,238020,15736
c2G18nIVpNE,Civil War | Official Final Trailer HD | A24,UCuPivVjnfNo4mb3Oog_frZg,A24,1,2024-04-10T13:00:34Z,"['a24', 'a24 films', 'a24 trailers', 'independent films', 'trailer', 'HD', 'official', 'movie', 'film', 'a24 movies', 'oscar winner', 'academy award winner']",8107866,9771,2218
OU__5jImEm0,Bryson DeChambeau's First Round | Every Single Shot | The Masters,UCSZxaHGo1OEs06vQumIooug,The Masters,17,2024-04-12T01:18:01Z,"['Masters', 'Tournament', 'Golf', 'Augusta', 'National', 'Club']",596640,5914,563
FpOzMBwjSK0,[4K] BABYMONSTER “SHEESH” Band LIVE Concert 세상을 SHEESH하게 만들 베몬 밴드라이브😈 [it’s KPOP LIVE 잇츠라이브],UCB9e3pof1o83aa0kkaoeJGA,it's Live,24,2024-04-11T08:00:08Z,"['BABYMONSTER', 'SHEESH', '베이비몬스터', '루카', '파리타', '아사', '라미', '로라', '치키타', '아현', 'YG', '와이지', '양현석', '블랙핑크', '2NE1', 'KPOP Group', 'KPOP Idol', 'KPOP', 'MDR', '잇츠라이브', 'itsLive', 'Band', 'Band LIVE', '밴드', '밴드라이브', '콘서트', '온라인콘서트', '온콘', '공연', '축제']",5717984,502283,25713
j6ucGt_Xp14,Dark Matter — Official Trailer | Apple TV+,UC1Myj674wRVXB9I4c6Hm5zA,Apple TV,24,2024-04-11T13:59:46Z,"['dark matter', 'dark matter season 1', 'trailer', 'trailers', 'dark matter trailer', 'trailer dark matter', 'official trailer', 'dark matter official trailer', 'joel edgerton', 'jennifer connelly', 'alice braga', 'jimmi simpson', 'dayo okeniyi', 'oakes fegley', 'amanda brugel', 'tv series', 'series', 'show', 'tv show', 'dark matter novel', 'novel', 'blake crouch', 'blake crouch dark matter', 'dark matter apple tv', 'apple tv', 'apple', 'tv', 'apple tv+', 'apple tv plus', 'apple tv app', 'apple original', 'sci-fi', 'thriller']",4689382,20514,1297
u4VwzWu4P8I,Laufey - Goddess (Official Music Video),UChpKl3waLmccNeYH9LGYjUQ,Laufey,10,2024-04-11T13:00:06Z,,797652,70751,2782
7tNvrYzPUrk,Young Woman and the Sea | Official Trailer,UCuaFvcY4MhZY3U43mMt1dYQ,Walt Disney Studios,1,2024-04-11T22:04:04Z,,1063114,3559,346
